Index,case_study,FILE,TP,FP,FN,support,recall,precision,F1-score,F2-score,specificity,balanced_accuracy,accuracy
1,WordPress,projectname_threats_01-13-2026_17_38.csv,7,23,28,35,0.2000,0.2333,0.2154,0.2059,0.0000,0.1000,0.1207
2,WordPress,projectname_threats_01-13-2026_17_40.csv,0,14,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,WordPress,projectname_threats_01-13-2026_17_41.csv,0,13,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,WordPress,projectname_threats_01-13-2026_17_42.csv,0,14,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,WordPress,projectname_threats_01-14-2026_12_24.csv,5,11,30,35,0.1429,0.3125,0.1961,0.1603,0.0000,0.0714,0.1087
6,WordPress,projectname_threats_01-14-2026_12_26.csv,5,10,30,35,0.1429,0.3333,0.2000,0.1613,0.0000,0.0714,0.1111
7,WordPress,projectname_threats_01-14-2026_12_27.csv,5,10,30,35,0.1429,0.3333,0.2000,0.1613,0.0000,0.0714,0.1111
8,WordPress,projectname_threats_01-14-2026_12_28.csv,5,10,30,35,0.1429,0.3333,0.2000,0.1613,0.0000,0.0714,0.1111
9,WordPress,projectname_threats_01-14-2026_12_30.csv,5,11,30,35,0.1429,0.3125,0.1961,0.1603,0.0000,0.0714,0.1087
10,WordPress,projectname_threats_01-14-2026_12_32.csv,5,11,30,35,0.1429,0.3125,0.1961,0.1603,0.0000,0.0714,0.1087
11,WordPress,projectname_threats_01-14-2026_13_17.csv,0,16,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,WordPress,projectname_threats_01-14-2026_13_19.csv,0,16,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,WordPress,projectname_threats_01-14-2026_13_20.csv,0,13,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,WordPress,projectname_threats_01-14-2026_13_23.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,WordPress,projectname_threats_01-14-2026_13_24.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,WordPress,projectname_threats_01-14-2026_14_00.csv,0,18,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,WordPress,projectname_threats_01-14-2026_14_10.csv,0,21,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,WordPress,projectname_threats_01-14-2026_14_17.csv,0,13,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,WordPress,projectname_threats_01-14-2026_14_21.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,WordPress,projectname_threats_01-14-2026_14_22.csv,0,18,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,WordPress,projectname_threats_01-14-2026_14_23.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,WordPress,projectname_threats_01-14-2026_14_24.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,WordPress,projectname_threats_01-14-2026_14_25.csv,0,12,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,WordPress,projectname_threats_01-14-2026_14_27.csv,0,17,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,WordPress,projectname_threats_01-14-2026_14_28.csv,0,15,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,WordPress,projectname_threats_01-14-2026_14_31.csv,0,15,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,WordPress,projectname_threats_01-14-2026_14_36.csv,0,13,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,WordPress,projectname_threats_01-14-2026_14_39.csv,0,10,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,WordPress,projectname_threats_01-14-2026_14_47.csv,0,24,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,WordPress,projectname_threats_01-14-2026_14_52.csv,0,19,35,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
